brandID,brand_name
17827,Apple
18802,Samsung
19673,Nokia
22017,Mobell
25422,Xiaomi
25643,OPPO
27468,OnePlus 
27932,TCL
49994,ZTE
52232,Vivo
111461,OEM
111684,Itel
112638,Masstel
112735,Oukitel
162007,Tecno
169013,Ulefone
198543,Nubia
229213,Bphone
233903,Black Shark
247549,Realme
257333,Vsmart
725567,DXD
4960305,Sugar
7355445,Redmagic
