productID,product_name,brandID,original_price,discount,price,discount_percent,rating,review_count,quantity_sold,shopID,dateID
5868813,Điện Thoại Bphone 3 (Trắng) - Hàng Chính Hãng,229213,6990000,0,6990000,0,0,0,5,69946,283
10763370,Điện Thoại Mobell S61 - Hàng Chính Hãng,22017,599000,0,599000,0,0,0,4,9141,418
29931445,"Ulefone Armor X 5 ( chống nước,chống va đập,pin 5.000mAh ) hàng chính hãng",169013,3290000,0,3290000,0,4.6,36,133,2350,619
37289936,"Điện thoại Oukitel WP2 chống nước,chống va đập, pin 10.000 mAh - Hàng chính hãng",112735,5490000,0,5490000,0,4.3,3,14,2350,666
55518608,Điện Thoại Smartphone DXD 20Pro Hàng Chính Hãng Bảo Hành 12 Tháng,725567,590000,0,590000,0,3.2,40,130,9141,885
57809866,Điện thoại Xiaomi Redmi 9A (2GB/32GB),25422,2490000,660000,1830000,27,4.7,623,5037,1,919
58065346,Điện Thoại Realme C11 (2GB/32GB) - Hàng Chính Hãng,247549,2990000,1140000,1850000,38,4.5,11,24,179232,926
59519631,Điện Thoại Xiaomi Redmi 9C (3GB/64GB) - Hàng Chính Hãng,25422,2508000,0,2508000,0,0,0,0,11119,963
65492829,"Điện thoại Oukitel WP5 Pro (Ram4GB,Rom 64Gb,pin 8.000mAh ,chống va đập,chống nước) - hàng chính hãng",112735,3990000,0,3990000,0,5,5,16,2350,1194
68693081,Điện Thoại Samsung Galaxy S20 FE (8GB/256GB) - Hàng Chính Hãng,18802,12490000,3428000,9062000,27,0,0,0,11119,1005
85042408,Điện Thoại Xiaomi Redmi Note 10 (4GB/64GB) - Hàng Chính Hãng,25422,3552000,0,3552000,0,0,0,0,11119,1178
91612670,Điện Thoại Oppo A54 (4GB/128GB),25643,3990000,740000,3250000,19,4.8,59,5711,1,1202
93502532,Điện thoại Nokia C20 2GB/32GB - Hàng chính hãng,19673,2390000,791000,1599000,33,5,2,13,179232,1214
96490448,Điện thoại Vsmart Star 5 (3GB/32GB) - Hàng chính hãng,257333,2490000,0,2490000,0,5,11,14,162514,1228
99862142,Điện Thoại Thông Minh Xiaomi Poco F3 8GB l 256GB - Hàng Chính Hãng,25422,9990000,0,9990000,0,4.7,29,62,122357,1241
101018339,Điện Thoại Oppo A54 (4GB/128GB) - Hàng Chính Hãng - Đã kích hoạt bảo hành điện tử,25643,3912000,0,3912000,0,0,0,0,11119,1243
108888161,Điện thoại Nokia C01 Plus 2GB/16GB - Hàng chính hãng,19673,1690000,240000,1450000,14,4.1,8,22,63,1275
108888574,Điện thoại Nokia 110 4G - Hàng chính hãng,19673,850000,151000,699000,18,4.8,22,84,63,1275
112821872,Điện Thoại Xiaomi Redmi 9C 3GB/64GB - Hàng Chính Hãng,25422,2508000,0,2508000,0,0,0,0,11119,1291
115830124,Điện Thoại Xiaomi Redmi 9A (2GB/32GB)- Đã kích hoạt bảo hành điện tử- Hàng Chính Hãng - Sky Blue,25422,2088000,0,2088000,0,0,0,0,11119,1306
119461456,Điện Thoại Vivo Y21 (4GB/64GB) - Hàng Chính Hãng,52232,4150000,0,4150000,0,0,0,0,241708,1332
119464777,Điện Thoại Nokia C01 Plus 2GB/16GB - Hàng Chính Hãng,19673,1879000,480000,1399000,26,4.5,39,95,179232,1339
120295859,Điện Thoại Nokia C30 (2GB/32GB) - Hàng Chính Hãng,19673,1990000,300000,1690000,15,4.6,130,454,1,1335
120782084,Điện Thoại Xiaomi Redmi 10 4GB/64GB - Hàng Chính Hãng,25422,3552000,0,3552000,0,0,0,0,11119,1339
121744434,Điện Thoại Xiaomi Redmi 10 4GB/128GB - Hàng Chính Hãng,25422,4290000,711000,3579000,17,4.8,46,124,29952,1347
123345348,Apple iPhone 12,17827,16990000,2000000,14990000,12,5,1254,2710,1,1353
125590981,Điện thoại Nokia C30 2GB/32GB - Hàng chính hãng,19673,2090000,0,2090000,0,5,23,64,222120,1363
125600698,Điện thoại Nokia C01 Plus - Hàng chính hãng,19673,1879000,480000,1399000,26,4.8,11,23,179232,1363
126296983,Điện thoại Nokia C20 2GB/16GB - Hàng chính hãng,19673,1890000,440000,1450000,23,4.3,4,12,63,1390
126703130,Điện thoại Xiaomi Redmi 10 (4GB/64GB) - Hàng chính hãng - Đã kích hoạt bảo hành điện tử,25422,3552000,0,3552000,0,0,0,0,11119,1369
127680701,Điện Thoại OPPO A54 (4GB/128GB) - Hàng Chính Hãng,25643,3912000,0,3912000,0,0,0,0,11119,1375
129167166,"Điện thoại ITEL A48 2GB/32GB , 6.1"" HD+ , Camera kép - Hàng Chính Hãng, Bảo Hành 12 Tháng",111461,1990000,591000,1399000,30,4.5,10,66,179232,1380
129167418,"Điện thoại itel Vision1 Pro (L6502) 2GB/32GB , 6.1"" HD+ , Camera kép - Hàng Chính Hãng, Bảo Hành 12 Tháng",111461,1999000,609000,1390000,30,3.8,12,46,179232,1380
132068858,Điện Thoại Oppo A55 (4GB/64GB),25643,4990000,1640000,3350000,33,4.8,270,20164,1,1389
135322157,Điện Thoại Nokia C20 2GB/32GB - Hàng Chính Hãng,19673,2490000,1000000,1490000,40,4.5,31,94,1,1397
135332196,Điện Thoại Nokia C20 2GB/16GB - Hàng Chính Hãng,19673,2290000,651000,1639000,28,5,8,26,29952,1398
137203873,Điện thoại Vivo Y15s (3GB/32GB) - Hàng chính hãng,52232,2990000,61000,2929000,2,0,0,6,162514,1405
137562237,Điện Thoại Oppo A54 4GB/128GB - Hàng Chính Hãng,25643,3912000,0,3912000,0,0,0,0,11119,1406
137572223,Điện Thoại Oppo A55 4GB/64GB - Hàng Chính Hãng,25643,3912000,0,3912000,0,0,0,0,11119,1406
137582801,Điện Thoại Realme C21Y 3GB/32GB - Hàng Chính Hãng,247549,2990000,921000,2069000,31,3,2,6,179232,1406
137864049,"Điện thoại Oukitel K15 Plus(chống sốc,chống va đập,pin 10.000mAh,Ram 4Gb,Rom 32Gb) - hàng chính hãng",112735,3990000,0,3990000,0,4.8,10,30,2350,1412
138867253,Điện thoại TECNO Spark 6 Go (4GB/64GB) - Hàng chính hãng,162007,2990000,471000,2519000,16,4,1,4,162514,1410
138873172,Điện thoại TECNO Spark 7T (4GB/64GB) - Hàng chính hãng,162007,3390000,661000,2729000,19,5,1,6,162514,1412
140144656,Điện thoại Realme C25Y (4GB/128GB) - Hàng chính hãng,247549,4990000,1461000,3529000,29,0,0,0,162514,1415
140163114,Điện thoại Oppo A55 (4GB/64GB) - Hàng chính hãng,25643,3912000,0,3912000,0,0,0,0,11119,1415
140184098,Điện Thoại Vsmart Bee Lite 2GB/16GB - Hàng Chính Hãng,257333,1990000,903000,1087000,45,4.3,18,58,29952,1415
140221779,Điện thoại Vivo V23e (8GB/128GB) – Hàng Chính Hãng,52232,8490000,0,8490000,0,0,0,1,235971,1415
140747649,Điện thoại Realme C11 2021 (4GB/64GB) - Hàng chính hãng,247549,3790000,311000,3479000,8,0,0,1,162514,1417
141337014,Điện thoại OPPO A55 (4GB/64GB) Đen - Hàng chính hãng,25643,3912000,0,3912000,0,0,0,0,11119,1418
141496858,Điện thoại OPPO A55 (4GB/64GB) - Hàng chính hãng,25643,3912000,0,3912000,0,0,0,0,11119,1418
141529940,Điện Thoại Realme C21Y 4GB/64GB - Hàng Chính Hãng,247549,4290000,1429000,2861000,33,0,0,0,29952,1419
142545270,Điện Thoại Oppo A16k (3GB/32GB),25643,3190000,791000,2399000,25,5,247,22936,1,1422
143359355,Điện Thoại Tecno Spark 6 Go 4GB/64GB - Hàng Chính Hãng,162007,2990000,799000,2191000,27,4.8,11,21,29952,1425
143850131,Điện thoại Vivo V23e (8GB/128GB) - Hàng chính hãng,52232,8490000,0,8490000,0,4.8,5,9,162514,1428
144142520,Điện Thoại Realme C25Y 4GB/128GB - Hàng Chính Hãng,247549,4990000,1691000,3299000,34,0,0,0,29952,1429
144870494,Điện Thoại Oppo A16k 3GB/32GB - Hàng Chính Hãng,25643,3012000,0,3012000,0,0,0,0,11119,1430
145972424,Điện thoại Oppo A16K (3GB/32GB) - Hàng chính hãng,25643,3012000,0,3012000,0,0,0,0,11119,1437
147969070,"Điện thoại thông minh itel A26 - giá rẻ | 2 Sim 2 Sóng 4G LTE | Màn hình IPS 5.7"" HD+ | RAM 2GB + ROM 32 GB (Hỗ trợ thẻ nhớ 32 GB) | Mở khoá bằng Gương Mặt | Chính Hãng bảo hành 12 tháng| 1 đổi 1 trong 30 ngày",111684,1990000,791000,1199000,40,4.5,49,156,179232,1446
149776401,"Điện thoại smartphone Sugar A100, music smartphone - Hàng chính hãng",4960305,1690000,841000,849000,50,4.8,13,34,179232,1446
151463645,"Điện thoại Bphone A60 (Ram 6Gb,Rom 128 Gb,màn hình đục lổ FHD 6.7inch , pin 5.000mAh ) - Hàng chính hãng",229213,6490000,0,6490000,0,4,1,1,2350,1455
155339564,Điện thoại Itel A26 (2GB/32GB) - Bảo hành 12 tháng - Hàng chính hãng,111461,1170000,0,1170000,0,4.5,5,45,162061,1465
155536275,Điện thoại Samsung Galaxy S21 FE 5G (8GB/128GB) - Hàng chính hãng,18802,16990000,6000000,10990000,35,4.6,56,166,1,1466
155833852,Điện Thoại Masstel Hapi 30 3GB/32GB - Hàng Chính Hãng,112638,2390000,684000,1706000,29,5,2,6,29952,1467
158461088,Điện Thoại Oppo A55 (4GB/64GB) - Hàng Chính Hãng,25643,3912000,0,3912000,0,0,0,0,11119,1475
158714974,Điện thoại Samsung Galaxy A03 (3GB/32GB) - Hàng chính hãng,18802,3500000,0,3500000,0,0,0,0,11119,1475
158741127,Điện Thoại Samsung A03 3GB/32GB - Hàng Chính Hãng,18802,2990000,840000,2150000,28,5,18,48,29952,1478
158808107,Điện thoại OPPO A16K (3GB/32GB) - Hàng chính hãng,25643,3990000,1360000,2630000,34,0,0,0,20704,1479
